,uid,name,value
82,2a242baa-8026-49a2-bacb-db5f1ff2efc5,Weighed Mass,
83,2a242baa-8026-49a2-bacb-db5f1ff2efc5,Mass Loss,
84,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Elastic Modulus, GPa",
85,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Yield Strength, MPa",
86,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"UTS, MPa",
87,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Elongation, %",
88,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Strain Hardening, MPa",
89,2c40e9a0-b11c-4459-87cb-6ee7189184ac,dUTS_dY,
90,2cb2c691-5edf-4e59-b83f-3f3e003242b6,Weighed Mass,
91,2cb2c691-5edf-4e59-b83f-3f3e003242b6,Mass Loss,
92,2e648836-1fe5-497f-9ae7-492118cda896,Weighed Mass,
93,2e648836-1fe5-497f-9ae7-492118cda896,Mass Loss,
94,2f2de58f-6c4e-4706-9f7b-09ae6802249c,Weighed Mass,
95,2f2de58f-6c4e-4706-9f7b-09ae6802249c,Mass Loss,
96,2fa8af00-58d7-4a16-8524-83dc36047e89,Weighed Mass,
97,2fa8af00-58d7-4a16-8524-83dc36047e89,Mass Loss,
98,2ffee34b-adad-4831-8500-87aac0934f2d,Weighed Mass,
99,2ffee34b-adad-4831-8500-87aac0934f2d,Mass Loss,
100,32ab6499-5191-4cf7-8380-36fef3228d79,Weighed Mass,
101,32ab6499-5191-4cf7-8380-36fef3228d79,Mass Loss,
102,3320a4e9-58a2-4edd-86ed-18a8efdfbaeb,Weighed Mass,
103,3320a4e9-58a2-4edd-86ed-18a8efdfbaeb,Mass Loss,
104,35c88c66-89ef-499c-8621-1d284bd0b661,Weighed Mass,
105,35c88c66-89ef-499c-8621-1d284bd0b661,Mass Loss,
106,3766b3b9-b01a-4569-b8d3-6336862d68b2,Weighed Mass,
107,3766b3b9-b01a-4569-b8d3-6336862d68b2,Mass Loss,
108,387cc4b2-aea0-4773-8cf6-2c9ce1e89c24,Weighed Mass,
109,387cc4b2-aea0-4773-8cf6-2c9ce1e89c24,Mass Loss,
110,39aadd9e-b5da-408d-8a17-f67e2983318a,Weighed Mass,
111,39aadd9e-b5da-408d-8a17-f67e2983318a,Mass Loss,
112,3cb4860c-f1fc-492f-9225-07c4a7126541,Phase,
113,3cb4860c-f1fc-492f-9225-07c4a7126541,Lattice Parameter,
114,3cb4860c-f1fc-492f-9225-07c4a7126541,"Hardness, HV",
115,3cb4860c-f1fc-492f-9225-07c4a7126541,"SD, HV",
