,uid,name
0,26737b08-c3e2-4ee6-9609-4b9b6ee22efd,Weighed Mass
1,26737b08-c3e2-4ee6-9609-4b9b6ee22efd,Mass Loss
2,4d1a75c2-b700-4dd5-8ce9-88e57a6f457a,Weighed Mass
3,4d1a75c2-b700-4dd5-8ce9-88e57a6f457a,Mass Loss
4,c2ebbff3-2f5a-46c3-8f06-510dbac83d48,Weighed Mass
5,c2ebbff3-2f5a-46c3-8f06-510dbac83d48,Mass Loss
6,f7fe0e41-1641-4340-bcff-29f2b7665d22,Weighed Mass
7,f7fe0e41-1641-4340-bcff-29f2b7665d22,Mass Loss
8,948ddadf-f0e6-4022-a2f3-0de0884ea878,Weighed Mass
9,948ddadf-f0e6-4022-a2f3-0de0884ea878,Mass Loss
10,b48ebcdc-5e78-4250-9d87-cbd1b1db1e0d,Weighed Mass
11,b48ebcdc-5e78-4250-9d87-cbd1b1db1e0d,Mass Loss
12,2ffee34b-adad-4831-8500-87aac0934f2d,Weighed Mass
13,2ffee34b-adad-4831-8500-87aac0934f2d,Mass Loss
14,53058723-c70f-4669-8b11-b0e64aab1a27,"Elastic Modulus, GPa"
15,53058723-c70f-4669-8b11-b0e64aab1a27,"Yield Strength, MPa"
16,53058723-c70f-4669-8b11-b0e64aab1a27,"UTS, MPa"
17,53058723-c70f-4669-8b11-b0e64aab1a27,"Elongation, %"
18,53058723-c70f-4669-8b11-b0e64aab1a27,"Strain Hardening, MPa"
19,53058723-c70f-4669-8b11-b0e64aab1a27,dUTS_dY
20,d1356ec4-fc76-4ffc-b5a3-ce071b486460,Weighed Mass
21,d1356ec4-fc76-4ffc-b5a3-ce071b486460,Mass Loss
22,ddbb60d9-8fd8-4f8f-bec5-0b5f57e99cf2,Weighed Mass
23,ddbb60d9-8fd8-4f8f-bec5-0b5f57e99cf2,Mass Loss
24,f54b0437-c167-4cd2-b800-4162d53764bc,Weighed Mass
25,f54b0437-c167-4cd2-b800-4162d53764bc,Mass Loss
26,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Elastic Modulus, GPa"
