,uid,name
82,0e07b9dd-7d70-44d0-814b-9d1a83e49e39,Weighed Mass
83,0e07b9dd-7d70-44d0-814b-9d1a83e49e39,Mass Loss
84,58dffe0f-1e29-4db8-af34-9d7b6d11b9fe,Weighed Mass
85,58dffe0f-1e29-4db8-af34-9d7b6d11b9fe,Mass Loss
86,b294a6e3-989f-45e0-a9ca-310a98dd4aa3,Weighed Mass
87,b294a6e3-989f-45e0-a9ca-310a98dd4aa3,Mass Loss
88,e6042711-a959-42f4-a0c7-0c042aa7be74,Weighed Mass
89,e6042711-a959-42f4-a0c7-0c042aa7be74,Mass Loss
90,f7c92476-8a7d-4e74-81f3-7d9065460ffe,Weighed Mass
91,f7c92476-8a7d-4e74-81f3-7d9065460ffe,Mass Loss
92,123d8868-0ff4-4089-939f-775b8a24ea91,Weighed Mass
93,123d8868-0ff4-4089-939f-775b8a24ea91,Mass Loss
94,72d63ce3-85fc-451b-a557-84c43f81d835,Weighed Mass
95,72d63ce3-85fc-451b-a557-84c43f81d835,Mass Loss
96,c2ebbff3-2f5a-46c3-8f06-510dbac83d48,Weighed Mass
97,c2ebbff3-2f5a-46c3-8f06-510dbac83d48,Mass Loss
98,10c0f657-6692-425f-b594-ebf360b70278,Weighed Mass
99,10c0f657-6692-425f-b594-ebf360b70278,Mass Loss
100,20093067-d402-442b-9f45-4894bf0a04e5,Weighed Mass
101,20093067-d402-442b-9f45-4894bf0a04e5,Mass Loss
102,74a073b6-59cc-4fc0-a2b5-437e048b55df,Weighed Mass
103,74a073b6-59cc-4fc0-a2b5-437e048b55df,Mass Loss
104,7e22f80e-8b52-48de-a36e-7f680119cdab,Weighed Mass
105,7e22f80e-8b52-48de-a36e-7f680119cdab,Mass Loss
106,efb96a2b-69d9-4963-8c42-4bd6a546958d,Weighed Mass
107,efb96a2b-69d9-4963-8c42-4bd6a546958d,Mass Loss
108,fc8ba492-f5b8-4eac-b0a0-3073ff8d1c56,Weighed Mass
109,fc8ba492-f5b8-4eac-b0a0-3073ff8d1c56,Mass Loss
110,f7bb67d4-1005-4889-9d3f-70382d2c8841,Weighed Mass
111,f7bb67d4-1005-4889-9d3f-70382d2c8841,Mass Loss
112,81133c17-15ef-4e05-acca-3b505fe46068,Weighed Mass
113,81133c17-15ef-4e05-acca-3b505fe46068,Mass Loss
114,aca074ae-3bd9-480b-b264-512c6952c436,Weighed Mass
115,aca074ae-3bd9-480b-b264-512c6952c436,Mass Loss
116,a8e9b606-abed-4d64-bf45-70a50263be35,Weighed Mass
117,a8e9b606-abed-4d64-bf45-70a50263be35,Mass Loss
118,dde39690-f5bb-47b9-97bb-6bdb18eea5f7,"Elastic Modulus, GPa"
119,dde39690-f5bb-47b9-97bb-6bdb18eea5f7,"Yield Strength, MPa"
120,dde39690-f5bb-47b9-97bb-6bdb18eea5f7,"UTS, MPa"
121,dde39690-f5bb-47b9-97bb-6bdb18eea5f7,"Elongation, %"
122,dde39690-f5bb-47b9-97bb-6bdb18eea5f7,"Strain Hardening, MPa"
123,dde39690-f5bb-47b9-97bb-6bdb18eea5f7,dUTS_dY
124,3766b3b9-b01a-4569-b8d3-6336862d68b2,Weighed Mass
125,3766b3b9-b01a-4569-b8d3-6336862d68b2,Mass Loss
126,938edd3e-1e09-4072-8731-e6894b95a9ed,"Elastic Modulus, GPa"
127,938edd3e-1e09-4072-8731-e6894b95a9ed,"Yield Strength, MPa"
128,938edd3e-1e09-4072-8731-e6894b95a9ed,"UTS, MPa"
129,938edd3e-1e09-4072-8731-e6894b95a9ed,"Elongation, %"
130,938edd3e-1e09-4072-8731-e6894b95a9ed,"Strain Hardening, MPa"
131,938edd3e-1e09-4072-8731-e6894b95a9ed,dUTS_dY
132,d57e11f6-2cdb-45cb-bdac-fdfeb179dc8c,Weighed Mass
133,d57e11f6-2cdb-45cb-bdac-fdfeb179dc8c,Mass Loss
134,dca8fab4-4fea-4a62-9f48-8d8ec0c9bee7,Phase
135,dca8fab4-4fea-4a62-9f48-8d8ec0c9bee7,Lattice Parameter
136,dca8fab4-4fea-4a62-9f48-8d8ec0c9bee7,"Hardness, HV"
137,dca8fab4-4fea-4a62-9f48-8d8ec0c9bee7,"SD, HV"
138,fd673d97-8bbc-4c12-95f4-5384ff33c312,Weighed Mass
139,fd673d97-8bbc-4c12-95f4-5384ff33c312,Mass Loss
140,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Elastic Modulus, GPa"
141,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Yield Strength, MPa"
142,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"UTS, MPa"
143,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Elongation, %"
144,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Strain Hardening, MPa"
145,2c40e9a0-b11c-4459-87cb-6ee7189184ac,dUTS_dY
146,6c5f64f3-8d8c-4e97-9c64-ff1586d0351c,Weighed Mass
147,6c5f64f3-8d8c-4e97-9c64-ff1586d0351c,Mass Loss
148,795cea22-772c-4c38-a7a6-593ba96b9f27,"Elastic Modulus, GPa"
149,795cea22-772c-4c38-a7a6-593ba96b9f27,"Yield Strength, MPa"
150,795cea22-772c-4c38-a7a6-593ba96b9f27,"UTS, MPa"
151,795cea22-772c-4c38-a7a6-593ba96b9f27,"Elongation, %"
152,795cea22-772c-4c38-a7a6-593ba96b9f27,"Strain Hardening, MPa"
153,795cea22-772c-4c38-a7a6-593ba96b9f27,dUTS_dY
154,c6708c15-7d43-4cb2-848c-0e329ea341fa,Weighed Mass
155,c6708c15-7d43-4cb2-848c-0e329ea341fa,Mass Loss
156,d306c6c0-896c-45f9-ad97-c7a3d70f06a2,Weighed Mass
157,d306c6c0-896c-45f9-ad97-c7a3d70f06a2,Mass Loss
158,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"Elastic Modulus, GPa"
159,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"Yield Strength, MPa"
160,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"UTS, MPa"
161,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"Elongation, %"
162,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"Strain Hardening, MPa"
163,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,dUTS_dY
164,7d5e44af-f266-419c-89aa-df4882a07a3e,Weighed Mass
165,7d5e44af-f266-419c-89aa-df4882a07a3e,Mass Loss
166,ef8e7a54-3646-4521-b3c4-21a15196a3b8,"Elastic Modulus, GPa"
167,ef8e7a54-3646-4521-b3c4-21a15196a3b8,"Yield Strength, MPa"
168,ef8e7a54-3646-4521-b3c4-21a15196a3b8,"UTS, MPa"
169,ef8e7a54-3646-4521-b3c4-21a15196a3b8,"Elongation, %"
170,ef8e7a54-3646-4521-b3c4-21a15196a3b8,"Strain Hardening, MPa"
171,ef8e7a54-3646-4521-b3c4-21a15196a3b8,dUTS_dY
172,f675773e-bceb-48a4-a607-40fde79b57ad,Weighed Mass
173,f675773e-bceb-48a4-a607-40fde79b57ad,Mass Loss
174,2e648836-1fe5-497f-9ae7-492118cda896,Weighed Mass
175,2e648836-1fe5-497f-9ae7-492118cda896,Mass Loss
176,72c7a4a5-b182-4246-aeaa-e191678c7680,"Elastic Modulus, GPa"
177,72c7a4a5-b182-4246-aeaa-e191678c7680,"Yield Strength, MPa"
178,72c7a4a5-b182-4246-aeaa-e191678c7680,"UTS, MPa"
179,72c7a4a5-b182-4246-aeaa-e191678c7680,"Elongation, %"
180,72c7a4a5-b182-4246-aeaa-e191678c7680,"Strain Hardening, MPa"
181,72c7a4a5-b182-4246-aeaa-e191678c7680,dUTS_dY
182,c2da2ba1-37fc-4eee-a724-472609801fee,Weighed Mass
183,c2da2ba1-37fc-4eee-a724-472609801fee,Mass Loss
184,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"Elastic Modulus, GPa"
185,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"Yield Strength, MPa"
186,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"UTS, MPa"
187,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"Elongation, %"
188,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"Strain Hardening, MPa"
189,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,dUTS_dY
190,0b39e64e-7735-4680-9f30-7e4520c3589f,Phase
191,0b39e64e-7735-4680-9f30-7e4520c3589f,Lattice Parameter
