,uid,name,type
71,06d0ca78-3cba-46cb-ae14-29ecf387a92c,"Elongation, %",nominal_real
72,06d0ca78-3cba-46cb-ae14-29ecf387a92c,"Strain Hardening, MPa",nominal_real
73,06d0ca78-3cba-46cb-ae14-29ecf387a92c,dUTS_dY,nominal_real
74,141d2cca-f7ae-451c-aded-fdabec78613a,Weighed Mass,nominal_real
75,141d2cca-f7ae-451c-aded-fdabec78613a,Mass Loss,nominal_real
76,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Elastic Modulus, GPa",nominal_real
77,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Yield Strength, MPa",nominal_real
78,45212daf-f363-44be-bc16-86eeb1a4d5fd,"UTS, MPa",nominal_real
79,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Elongation, %",nominal_real
80,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Strain Hardening, MPa",nominal_real
81,45212daf-f363-44be-bc16-86eeb1a4d5fd,dUTS_dY,nominal_real
82,b1601dbd-6db3-44ce-9fe9-fcfee3b9982a,Weighed Mass,nominal_real
83,b1601dbd-6db3-44ce-9fe9-fcfee3b9982a,Mass Loss,nominal_real
84,2a242baa-8026-49a2-bacb-db5f1ff2efc5,Weighed Mass,nominal_real
85,2a242baa-8026-49a2-bacb-db5f1ff2efc5,Mass Loss,nominal_real
86,409f811e-6925-4698-a3d5-b054bc13aa9f,Weighed Mass,nominal_real
87,409f811e-6925-4698-a3d5-b054bc13aa9f,Mass Loss,nominal_real
88,948ddadf-f0e6-4022-a2f3-0de0884ea878,Weighed Mass,nominal_real
89,948ddadf-f0e6-4022-a2f3-0de0884ea878,Mass Loss,nominal_real
90,2cb2c691-5edf-4e59-b83f-3f3e003242b6,Weighed Mass,nominal_real
91,2cb2c691-5edf-4e59-b83f-3f3e003242b6,Mass Loss,nominal_real
92,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Elastic Modulus, GPa",nominal_real
93,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Yield Strength, MPa",nominal_real
94,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"UTS, MPa",nominal_real
95,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Elongation, %",nominal_real
96,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Strain Hardening, MPa",nominal_real
97,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,dUTS_dY,nominal_real
98,958bed36-d4af-4f6d-819d-e81e8b132f8b,Weighed Mass,nominal_real
99,958bed36-d4af-4f6d-819d-e81e8b132f8b,Mass Loss,nominal_real
100,2e648836-1fe5-497f-9ae7-492118cda896,Weighed Mass,nominal_real
101,2e648836-1fe5-497f-9ae7-492118cda896,Mass Loss,nominal_real
102,3766b3b9-b01a-4569-b8d3-6336862d68b2,Weighed Mass,nominal_real
103,3766b3b9-b01a-4569-b8d3-6336862d68b2,Mass Loss,nominal_real
104,f675773e-bceb-48a4-a607-40fde79b57ad,Weighed Mass,nominal_real
105,f675773e-bceb-48a4-a607-40fde79b57ad,Mass Loss,nominal_real
106,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"Elastic Modulus, GPa",nominal_real
107,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"Yield Strength, MPa",nominal_real
108,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"UTS, MPa",nominal_real
109,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"Elongation, %",nominal_real
110,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,"Strain Hardening, MPa",nominal_real
111,14a08c04-f3b9-4352-8b3e-bfd5e89766d6,dUTS_dY,nominal_real
112,27f96c6f-3499-4c9b-ad90-c05762983e5f,Weighed Mass,nominal_real
