,root_uid,root_type,endpoint_uid,edge_id,gemd_ref,path,level
42,20c73be0-cfc2-4545-8062-88845bf894e1,ingredient_run,,,,ingredient_run:20c73be0-cfc2-4545-8062-88845bf894e1,0
43,214852ad-adec-448b-a298-d5e161de2479,ingredient_run,,,,ingredient_run:214852ad-adec-448b-a298-d5e161de2479,0
44,21bc86d3-6938-40a6-899a-04fb0e5ef1a8,ingredient_run,,,,ingredient_run:21bc86d3-6938-40a6-899a-04fb0e5ef1a8,0
45,21d3181f-dd7a-4e8e-b150-d85a77ffee6a,ingredient_run,,,,ingredient_run:21d3181f-dd7a-4e8e-b150-d85a77ffee6a,0
46,21e1aaec-f162-4935-b4f3-cb861d733032,ingredient_run,,,,ingredient_run:21e1aaec-f162-4935-b4f3-cb861d733032,0
47,23bc9639-07e5-46a0-8229-a91bda9304c0,ingredient_run,,,,ingredient_run:23bc9639-07e5-46a0-8229-a91bda9304c0,0
48,24f305bf-f28c-4d3a-8d57-95f490bddfd8,ingredient_run,,,,ingredient_run:24f305bf-f28c-4d3a-8d57-95f490bddfd8,0
49,25208e6c-f55b-408a-b4df-908ce84657cd,ingredient_run,,,,ingredient_run:25208e6c-f55b-408a-b4df-908ce84657cd,0
50,25d7bba5-c466-4a9b-a3e0-ece47ca68d8c,ingredient_run,,,,ingredient_run:25d7bba5-c466-4a9b-a3e0-ece47ca68d8c,0
51,260bd592-67c0-422e-8b44-519696784a1f,ingredient_run,,,,ingredient_run:260bd592-67c0-422e-8b44-519696784a1f,0
52,2968501d-45f6-4493-82f6-015d66a3ebc5,ingredient_run,,,,ingredient_run:2968501d-45f6-4493-82f6-015d66a3ebc5,0
53,29a0c304-1d7f-4f1d-ad3e-8efeffff11a9,ingredient_run,,,,ingredient_run:29a0c304-1d7f-4f1d-ad3e-8efeffff11a9,0
54,2a1dd505-c9ac-43dd-b6c4-e6b18b71b091,ingredient_run,,,,ingredient_run:2a1dd505-c9ac-43dd-b6c4-e6b18b71b091,0
55,2a57a29f-a1de-4f57-8df5-664c626839d9,ingredient_run,,,,ingredient_run:2a57a29f-a1de-4f57-8df5-664c626839d9,0
56,2a6043ea-2640-48e5-a4d2-a25f9a5e61f1,ingredient_run,,,,ingredient_run:2a6043ea-2640-48e5-a4d2-a25f9a5e61f1,0
57,2a66fa91-ae36-448c-a6f8-31f7c550e642,ingredient_run,,,,ingredient_run:2a66fa91-ae36-448c-a6f8-31f7c550e642,0
58,2b875945-3328-42b1-9e4d-48c9429afb10,ingredient_run,,,,ingredient_run:2b875945-3328-42b1-9e4d-48c9429afb10,0
59,2cb76807-fd7e-4415-8a39-73ebe9e38426,ingredient_run,,,,ingredient_run:2cb76807-fd7e-4415-8a39-73ebe9e38426,0
60,2ccaae47-6725-404e-84e9-75297630dc12,ingredient_run,,,,ingredient_run:2ccaae47-6725-404e-84e9-75297630dc12,0
61,2da90854-2539-46e8-aa94-8cd5f54fc5d3,ingredient_run,,,,ingredient_run:2da90854-2539-46e8-aa94-8cd5f54fc5d3,0
62,2f220dfb-b198-4933-ac82-ecc41a933f1b,ingredient_run,,,,ingredient_run:2f220dfb-b198-4933-ac82-ecc41a933f1b,0
63,2fa56956-b9c6-4f27-ba59-4ecc78342053,ingredient_run,,,,ingredient_run:2fa56956-b9c6-4f27-ba59-4ecc78342053,0
64,2feee8ce-e934-4449-b3a6-9c583b09ad80,ingredient_run,,,,ingredient_run:2feee8ce-e934-4449-b3a6-9c583b09ad80,0
65,3037c136-b12c-4964-9e6f-13e1cbc15c10,ingredient_run,,,,ingredient_run:3037c136-b12c-4964-9e6f-13e1cbc15c10,0
66,3069a429-664d-40c2-82a0-cab35c99d9bc,ingredient_run,,,,ingredient_run:3069a429-664d-40c2-82a0-cab35c99d9bc,0
67,307dd71a-b327-4b8c-9539-8ee6a366a524,ingredient_run,,,,ingredient_run:307dd71a-b327-4b8c-9539-8ee6a366a524,0
68,309196c9-e9be-4ce5-8f53-ca36a03322dd,ingredient_run,,,,ingredient_run:309196c9-e9be-4ce5-8f53-ca36a03322dd,0
69,30f173bb-164a-4f11-90a3-ebca58cd8618,ingredient_run,,,,ingredient_run:30f173bb-164a-4f11-90a3-ebca58cd8618,0
70,320d260c-fd11-454f-a372-3192f6bda053,ingredient_run,,,,ingredient_run:320d260c-fd11-454f-a372-3192f6bda053,0
