,uid,model_id,gemd_type,context
10,01648495-7e7b-4fe0-a514-842a5cd51e0b,4,material_spec,"{""file_links"": [], ""name"": ""Alloy (composition AAB15 with VAM in batch A)"", ""notes"": null, ""process"": {""id"": ""f37de06e-8891-4269-9267-596f7ae171c9"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""properties"": [], ""tags"": [], ""template"": {""id"": ""2cae419e-f2c0-47d1-808c-4f560dda0924"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""material_spec"", ""uids"": {""auto"": ""01648495-7e7b-4fe0-a514-842a5cd51e0b""}}"
11,0166aa9f-dfb6-4f1f-a65b-adf965bd39ff,4,process_spec,"{""conditions"": [], ""file_links"": [], ""name"": ""Arc melting of Alloy (composition AAB09 with VAM in batch A)"", ""notes"": null, ""parameters"": [{""file_links"": [], ""name"": ""Initial Purging Times"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""bf7fb44b-4866-4cee-86ec-f9fa35bdcc7c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""hour""}}, {""file_links"": [], ""name"": ""Vacuum Before Melt"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""87ee49eb-9ddc-4d00-950b-e6118f1274df"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""dimensionless""}}], ""tags"": [], ""template"": {""id"": ""30c8c5f4-8db6-4142-a02a-db0c4b8bc334"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""0166aa9f-dfb6-4f1f-a65b-adf965bd39ff""}}"
12,017714bf-b38e-4064-bfa9-df3078c75464,4,ingredient_spec,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""55d18ab5-401c-4cd6-b4c6-581637fbc35a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Fe in composition AAB13 with VAM in batch A Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""f30f9106-60be-4160-8f81-93fb8563788d"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_spec"", ""uids"": {""auto"": ""017714bf-b38e-4064-bfa9-df3078c75464""}, ""volume_fraction"": null}"
13,018ac863-1e27-42f7-bd27-662dc39fe0f4,4,ingredient_spec,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""f214b93f-8d9e-430c-a939-c8e91e1921b3"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Alloy (composition AAB14 with VAM in batch A): Traveler Sample (XRD, T03) Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""51478d48-d60c-4e84-8396-f9a33a2f086e"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_spec"", ""uids"": {""auto"": ""018ac863-1e27-42f7-bd27-662dc39fe0f4""}, ""volume_fraction"": null}"
14,01921bb2-90e2-4e4f-a7df-8c621fae6f91,4,ingredient_spec,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""4afa6aed-b8bb-48b1-9330-e67690f29fca"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""V in composition AAB04 with VAM in batch A Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""4b1ccccf-d43e-48d2-a589-e8e10411024d"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_spec"", ""uids"": {""auto"": ""01921bb2-90e2-4e4f-a7df-8c621fae6f91""}, ""volume_fraction"": null}"
15,0194dbe0-b8ca-42b5-9f2f-96529acc499a,4,process_run,"{""conditions"": [], ""file_links"": [], ""name"": ""Setting traveler for Alloy (composition AAB01 with VAM in batch A)"", ""notes"": null, ""parameters"": [], ""source"": null, ""spec"": {""id"": ""2a851dab-f3ab-4875-83d7-611d408723ad"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [""composition_id::AAB01"", ""batch::A"", ""fabrication_method::VAM""], ""type"": ""process_run"", ""uids"": {""auto"": ""0194dbe0-b8ca-42b5-9f2f-96529acc499a""}}"
16,01d7ee32-082d-42f3-bf39-f9227e264cc6,4,process_spec,"{""conditions"": [], ""file_links"": [], ""name"": ""Aggregating composition AAB08 with VAM in batch A"", ""notes"": null, ""parameters"": [], ""tags"": [], ""template"": {""id"": ""c668bdba-ce09-4fc8-b89d-532d9db65ccf"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""01d7ee32-082d-42f3-bf39-f9227e264cc6""}}"
17,01fbb50b-74b8-4437-ac60-7c4deded86e3,4,ingredient_run,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""a3ed28a1-63e2-419e-a5b5-c4206ae99132"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""composition AAB05 with VAM in batch A Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""e9c53cfa-e72e-46e6-a778-13433541b4b4"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""spec"": {""id"": ""37f8b657-ffc0-4424-871c-fccb8d1e890c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_run"", ""uids"": {""auto"": ""01fbb50b-74b8-4437-ac60-7c4deded86e3""}, ""volume_fraction"": null}"
18,02536466-2df7-4ca8-9640-e2a681f74761,4,process_run,"{""conditions"": [], ""file_links"": [], ""name"": ""Extract sample from Alloy (composition AAB08 with VAM in batch A): Traveler"", ""notes"": null, ""parameters"": [], ""source"": null, ""spec"": {""id"": ""e5fa0d8a-bd3a-4583-ba5d-e74bdf2dac62"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""process_run"", ""uids"": {""auto"": ""02536466-2df7-4ca8-9640-e2a681f74761""}}"
19,026ccfd0-f7bc-434d-9e6c-a1680e3610f4,4,ingredient_spec,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""8b78b255-4ced-4358-a979-363a210ca758"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Alloy (composition AAB09 with VAM in batch A): Traveler Sample (Tensile, Average) Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""51478d48-d60c-4e84-8396-f9a33a2f086e"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_spec"", ""uids"": {""auto"": ""026ccfd0-f7bc-434d-9e6c-a1680e3610f4""}, ""volume_fraction"": null}"
