,Source,Target
0,material_run [000043d9-701d-4a81-bf62-4c1cb1cca72f],material_spec [5c38e07c-1e18-4d80-b1e5-03fc2517755c]
1,material_run [000043d9-701d-4a81-bf62-4c1cb1cca72f],process_run [939042e3-37cd-4786-b6eb-5b7250d6903f]
2,process_run [939042e3-37cd-4786-b6eb-5b7250d6903f],process_spec [b9274d86-b97a-4e39-b097-efee075e171a]
3,process_spec [b9274d86-b97a-4e39-b097-efee075e171a],process_template [b6fbde0c-bbf3-44fc-ada9-ebd2dd07f69b]
4,material_spec [5c38e07c-1e18-4d80-b1e5-03fc2517755c],material_template [2eb06493-a47a-4f22-a77f-b98d790d9d86]
5,material_spec [5c38e07c-1e18-4d80-b1e5-03fc2517755c],process_spec [b9274d86-b97a-4e39-b097-efee075e171a]
6,process_spec [b9274d86-b97a-4e39-b097-efee075e171a],process_template [b6fbde0c-bbf3-44fc-ada9-ebd2dd07f69b]
