Source,Target,node_context
,measurement_run [ce323f9d-bb72-4c1d-bbd0-f43368d22fc3],"{""conditions"": [], ""file_links"": [], ""material"": {""id"": ""a373dbe9-3773-490b-94e8-43dd6a5cd771"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""FlyerCuttingCompleteness"", ""notes"": null, ""parameters"": [], ""properties"": [{""file_links"": [], ""name"": ""FlyerCuttingCompleteness"", ""notes"": null, ""origin"": ""measured"", ""template"": {""id"": ""a0d3ce5e-be96-4463-85f3-df77aaf792e5"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""property"", ""value"": {""nominal"": 100, ""type"": ""nominal_integer""}}], ""source"": null, ""spec"": null, ""tags"": [], ""type"": ""measurement_run"", ""uids"": {""auto"": ""ce323f9d-bb72-4c1d-bbd0-f43368d22fc3""}}"
measurement_run [ce323f9d-bb72-4c1d-bbd0-f43368d22fc3],material_run [a373dbe9-3773-490b-94e8-43dd6a5cd771],"{""file_links"": [], ""name"": ""Flyer Stack"", ""notes"": """", ""process"": {""id"": ""0f5b9b08-11d5-460d-9f7f-b64029cb5b0a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""sample_type"": ""unknown"", ""spec"": {""id"": ""8114027c-132a-4749-aad8-e6174230398b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [""FlyerID::F084"", ""recordId::104"", ""modId::13"", ""ObjectType::LaserShockFlyerStack""], ""type"": ""material_run"", ""uids"": {""auto"": ""a373dbe9-3773-490b-94e8-43dd6a5cd771""}}"
material_run [a373dbe9-3773-490b-94e8-43dd6a5cd771],material_spec [8114027c-132a-4749-aad8-e6174230398b],"{""file_links"": [], ""name"": ""Flyer Stack"", ""notes"": ""A spec for creating a set of flyer discs cut out from a glass/epoxy/foil stack"", ""process"": {""id"": ""f874fa54-393f-4554-9f0c-6efd5a1cd828"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""properties"": [], ""tags"": [], ""template"": {""id"": ""40bd3746-fdbe-4ec2-922b-85a95db5d38b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""material_spec"", ""uids"": {""auto"": ""8114027c-132a-4749-aad8-e6174230398b""}}"
material_run [a373dbe9-3773-490b-94e8-43dd6a5cd771],process_run [0f5b9b08-11d5-460d-9f7f-b64029cb5b0a],"{""conditions"": [], ""file_links"": [], ""name"": ""Flyer Cutting Optimized v2 (2021-10-22)"", ""notes"": null, ""parameters"": [], ""source"": {""performed_by"": ""DiMarco"", ""performed_date"": ""01/27/2022"", ""type"": ""performed_source""}, ""spec"": {""id"": ""f874fa54-393f-4554-9f0c-6efd5a1cd828"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""process_run"", ""uids"": {""auto"": ""0f5b9b08-11d5-460d-9f7f-b64029cb5b0a""}}"
process_run [0f5b9b08-11d5-460d-9f7f-b64029cb5b0a],process_spec [f874fa54-393f-4554-9f0c-6efd5a1cd828],"{""conditions"": [{""file_links"": [], ""name"": ""CuttingMethod"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""df41d078-bec4-4a22-8079-e5b65ece716a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Continuous"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""CuttingTool"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""e9aa963a-1469-4aab-9cd3-e6631f15dc81"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Femtosecond Laser"", ""type"": ""nominal_categorical""}}], ""file_links"": [{""filename"": ""REVISEDCIRCLEARRAY(BATCH4FLYERS)-2021-10-22.pgm"", ""type"": ""file_link"", ""url"": null}], ""name"": ""Flyer Cutting Optimized v2 (2021-10-22)"", ""notes"": ""Same program as the previous flyer program, but generalized for any material.  Therefore, the energy, number of passes should be defined and recorded specifically for EACH FLYER on the FLYER CUTTING page"", ""parameters"": [{""file_links"": [], ""name"": ""ApertureSetting"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""a9f00d44-1e05-4165-a93d-28e406def60a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""Open"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""DepthofCut"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""29083154-32f9-4ea9-b0d3-e418547df44b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""On"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""Flyer Spacing"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""149d503b-4976-4a23-8e91-95c406aca489"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 6.0, ""type"": ""nominal_real"", ""units"": ""millimeter""}}, {""file_links"": [], ""name"": ""Flyer Diameter"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""f2e936fe-423f-4446-b779-d5c28b4f2b57"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 1.5, ""type"": ""nominal_real"", ""units"": ""millimeter""}}, {""file_links"": [], ""name"": ""Rows X Columns"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""80218016-6b62-4877-b3bc-7273dca35587"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 7, ""type"": ""nominal_integer""}}, {""file_links"": [], ""name"": ""LaserCuttingEnergy"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""5b7913a3-0513-4aed-a99b-7d48b4849f8f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 220.0, ""type"": ""nominal_real"", ""units"": ""microjoule""}}, {""file_links"": [], ""name"": ""NumberofPasses"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""abe238b6-38fc-499a-a3c0-300ebe5344eb"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 10, ""type"": ""nominal_integer""}}], ""tags"": [""FlyerCuttingID::FP04"", ""VersionDate::10/22/2021"", ""recordId::4"", ""modId::5""], ""template"": {""id"": ""9659d9a6-345f-4336-8817-8bbdbbe61356"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""f874fa54-393f-4554-9f0c-6efd5a1cd828""}}"
process_spec [f874fa54-393f-4554-9f0c-6efd5a1cd828],process_template [9659d9a6-345f-4336-8817-8bbdbbe61356],"{""allowed_labels"": [], ""allowed_names"": [], ""conditions"": [[{""id"": ""df41d078-bec4-4a22-8079-e5b65ece716a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""3eb4fb37-07c0-4a43-b680-3ea79486a408"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""e9aa963a-1469-4aab-9cd3-e6631f15dc81"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""description"": ""A program (process) for cutting flyers out of a layer of foil"", ""name"": ""Flyer Cutting Program"", ""parameters"": [[{""id"": ""5b7913a3-0513-4aed-a99b-7d48b4849f8f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""abe238b6-38fc-499a-a3c0-300ebe5344eb"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""a9f00d44-1e05-4165-a93d-28e406def60a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""29083154-32f9-4ea9-b0d3-e418547df44b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""149d503b-4976-4a23-8e91-95c406aca489"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""f2e936fe-423f-4446-b779-d5c28b4f2b57"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""80218016-6b62-4877-b3bc-7273dca35587"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""tags"": [], ""type"": ""process_template"", ""uids"": {""auto"": ""9659d9a6-345f-4336-8817-8bbdbbe61356""}}"
material_spec [8114027c-132a-4749-aad8-e6174230398b],material_template [40bd3746-fdbe-4ec2-922b-85a95db5d38b],"{""description"": ""A set of flyer discs cut out of a glass/epoxy/foil stack"", ""name"": ""Flyer Stack"", ""properties"": [[{""id"": ""9d935e50-9765-4c2d-90db-e98b48a07de5"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""tags"": [], ""type"": ""material_template"", ""uids"": {""auto"": ""40bd3746-fdbe-4ec2-922b-85a95db5d38b""}}"
material_spec [8114027c-132a-4749-aad8-e6174230398b],process_spec [f874fa54-393f-4554-9f0c-6efd5a1cd828],"{""conditions"": [{""file_links"": [], ""name"": ""CuttingMethod"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""df41d078-bec4-4a22-8079-e5b65ece716a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Continuous"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""CuttingTool"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""e9aa963a-1469-4aab-9cd3-e6631f15dc81"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Femtosecond Laser"", ""type"": ""nominal_categorical""}}], ""file_links"": [{""filename"": ""REVISEDCIRCLEARRAY(BATCH4FLYERS)-2021-10-22.pgm"", ""type"": ""file_link"", ""url"": null}], ""name"": ""Flyer Cutting Optimized v2 (2021-10-22)"", ""notes"": ""Same program as the previous flyer program, but generalized for any material.  Therefore, the energy, number of passes should be defined and recorded specifically for EACH FLYER on the FLYER CUTTING page"", ""parameters"": [{""file_links"": [], ""name"": ""ApertureSetting"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""a9f00d44-1e05-4165-a93d-28e406def60a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""Open"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""DepthofCut"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""29083154-32f9-4ea9-b0d3-e418547df44b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""On"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""Flyer Spacing"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""149d503b-4976-4a23-8e91-95c406aca489"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 6.0, ""type"": ""nominal_real"", ""units"": ""millimeter""}}, {""file_links"": [], ""name"": ""Flyer Diameter"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""f2e936fe-423f-4446-b779-d5c28b4f2b57"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 1.5, ""type"": ""nominal_real"", ""units"": ""millimeter""}}, {""file_links"": [], ""name"": ""Rows X Columns"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""80218016-6b62-4877-b3bc-7273dca35587"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 7, ""type"": ""nominal_integer""}}, {""file_links"": [], ""name"": ""LaserCuttingEnergy"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""5b7913a3-0513-4aed-a99b-7d48b4849f8f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 220.0, ""type"": ""nominal_real"", ""units"": ""microjoule""}}, {""file_links"": [], ""name"": ""NumberofPasses"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""abe238b6-38fc-499a-a3c0-300ebe5344eb"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 10, ""type"": ""nominal_integer""}}], ""tags"": [""FlyerCuttingID::FP04"", ""VersionDate::10/22/2021"", ""recordId::4"", ""modId::5""], ""template"": {""id"": ""9659d9a6-345f-4336-8817-8bbdbbe61356"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""f874fa54-393f-4554-9f0c-6efd5a1cd828""}}"
process_spec [f874fa54-393f-4554-9f0c-6efd5a1cd828],process_template [9659d9a6-345f-4336-8817-8bbdbbe61356],"{""allowed_labels"": [], ""allowed_names"": [], ""conditions"": [[{""id"": ""df41d078-bec4-4a22-8079-e5b65ece716a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""3eb4fb37-07c0-4a43-b680-3ea79486a408"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""e9aa963a-1469-4aab-9cd3-e6631f15dc81"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""description"": ""A program (process) for cutting flyers out of a layer of foil"", ""name"": ""Flyer Cutting Program"", ""parameters"": [[{""id"": ""5b7913a3-0513-4aed-a99b-7d48b4849f8f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""abe238b6-38fc-499a-a3c0-300ebe5344eb"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""a9f00d44-1e05-4165-a93d-28e406def60a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""29083154-32f9-4ea9-b0d3-e418547df44b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""149d503b-4976-4a23-8e91-95c406aca489"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""f2e936fe-423f-4446-b779-d5c28b4f2b57"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""80218016-6b62-4877-b3bc-7273dca35587"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""tags"": [], ""type"": ""process_template"", ""uids"": {""auto"": ""9659d9a6-345f-4336-8817-8bbdbbe61356""}}"
